151 :  ['Aegilops_speltoides', 'Aegilops_longissima', 'Aegilops_umbellulata']
151 :  ['Picea_glauca', 'Picea_rubens', 'Picea_maximowiczii']
151 :  ['Picea_rubens', 'Picea_alcoquiana', 'Picea_mariana']
150 :  ['Triticum_aestivum', 'Aegilops_speltoides']
150 :  ['Picea_rubens', 'Picea_schrenkiana', 'Picea_pungens']
149 :  ['Aegilops_sharonensis', 'Aegilops_longissima']
149 :  ['Picea_koraiensis', 'Picea_abies', 'Picea_torano']
149 :  ['Picea_rubens', 'Picea_wilsonii', 'Picea_pungens']
149 :  ['Picea_rubens', 'Picea_morrisonicola', 'Picea_pungens']
148 :  ['Bromus_catharticus', 'Aegilops_speltoides', 'Aegilops_longissima']
148 :  ['Picea_koyamae', 'Picea_meyeri', 'Picea_torano']
148 :  ['Picea_koraiensis', 'Picea_torano']
148 :  ['Picea_rubens', 'Picea_asperata', 'Picea_pungens']
147 :  ['Picea_rubens', 'Picea_chihuahuana', 'Picea_pungens']
146 :  ['Secale_cereale', 'Aegilops_speltoides']
145 :  ['Hordeum_bogdanii', 'Aegilops_speltoides']
144 :  ['Aegilops_speltoides', 'Aegilops_uniaristata', 'Aegilops_umbellulata']
144 :  ['Aegilops_speltoides', 'Aegilops_comosa']
144 :  ['Picea_sitchensis', 'Pinus_albicaulis', 'Pinus_cembra']
144 :  ['Picea_sitchensis', 'Picea_rubens', 'Picea_alcoquiana']
144 :  ['Picea_glauca', 'Picea_rubens', 'Picea_asperata']
144 :  ['Picea_glauca', 'Picea_rubens']
144 :  ['Picea_rubens', 'Picea_koraiensis', 'Picea_pungens']
143 :  ['Picea_alcoquiana', 'Picea_glehnii', 'Picea_orientalis']
142 :  ['Aegilops_speltoides', 'Aegilops_searsii', 'Aegilops_comosa']
142 :  ['Picea_rubens', 'Picea_koyamae', 'Picea_omorika']
141 :  ['Hordeum_marinum', 'Aegilops_speltoides', 'Aegilops_comosa']
141 :  ['Picea_glehnii', 'Picea_koraiensis', 'Picea_torano']
141 :  ['Picea_sitchensis', 'Picea_glauca']
141 :  ['Picea_sitchensis', 'Picea_rubens', 'Picea_asperata']
140 :  ['Aegilops_speltoides', 'Aegilops_bicornis']
140 :  ['Aegilops_speltoides', 'Triticum_monococcum']
140 :  ['Picea_koraiensis', 'Picea_obovata', 'Picea_torano']
140 :  ['Picea_sitchensis', 'Picea_rubens', 'Picea_koraiensis']
139 :  ['Picea_sitchensis', 'Pinus_cembra', 'Cathaya_argyrophylla']
139 :  ['Picea_sitchensis', 'Pinus_cembra']
138 :  ['Aegilops_speltoides', 'Aegilops_longissima', 'Triticum_monococcum']
138 :  ['Picea_sitchensis', 'Pinus_cembra', 'Larix_decidua']
137 :  ['Tetraclinis_articulata', 'Widdringtonia_nodiflora']
137 :  ['Picea_koyamae', 'Picea_torano', 'Picea_jezoensis']
136 :  ['Aegilops_speltoides', 'Aegilops_crassa', 'Aegilops_comosa']
136 :  ['Picea_sitchensis', 'Picea_rubens', 'Picea_wilsonii']
135 :  ['Aegilops_speltoides', 'Aegilops_umbellulata', 'Aegilops_comosa']
134 :  ['Sequoia_sempervirens', 'Tetraclinis_articulata']
134 :  ['Glyptostrobus_pensilis', 'Tetraclinis_articulata']
134 :  ['Aegilops_speltoides', 'Amblyopyrum_muticum', 'Aegilops_comosa']
134 :  ['Picea_koyamae', 'Picea_abies', 'Picea_torano']
134 :  ['Picea_sitchensis', 'Picea_glauca', 'Picea_rubens']
133 :  ['Aegilops_speltoides', 'Aegilops_bicornis', 'Aegilops_umbellulata']
133 :  ['Thujopsis_dolabrata', 'Tetraclinis_articulata']
133 :  ['Picea_sitchensis', 'Picea_rubens', 'Picea_chihuahuana']
133 :  ['Picea_glauca', 'Picea_rubens', 'Picea_schrenkiana']
133 :  ['Picea_rubens', 'Picea_alcoquiana', 'Picea_omorika']
132 :  ['Cupressus_cashmeriana', 'Tetraclinis_articulata']
132 :  ['Secale_cereale', 'Aegilops_speltoides', 'Aegilops_longissima']
132 :  ['Tetraclinis_articulata']
131 :  ['Secale_cereale', 'Aegilops_speltoides', 'Aegilops_comosa']
131 :  ['Picea_rubens', 'Picea_omorika']
130 :  ['Sequoia_sempervirens', 'Thujopsis_dolabrata', 'Tetraclinis_articulata']
130 :  ['Glyptostrobus_pensilis', 'Thujopsis_dolabrata', 'Tetraclinis_articulata']
130 :  ['Picea_koyamae', 'Picea_torano', 'Picea_mariana']
130 :  ['Picea_glauca', 'Picea_rubens', 'Picea_chihuahuana']
129 :  ['Picea_koyamae', 'Picea_torano', 'Picea_maximowiczii']
129 :  ['Picea_sitchensis', 'Picea_glauca', 'Picea_glehnii']
129 :  ['Picea_sitchensis', 'Picea_rubens', 'Picea_schrenkiana']
128 :  ['Secale_cereale', 'Aegilops_speltoides', 'Triticum_monococcum']
127 :  ['Aegilops_speltoides', 'Aegilops_uniaristata', 'Aegilops_longissima']
127 :  ['Aegilops_speltoides', 'Aegilops_bicornis', 'Aegilops_ventricosa']
126 :  ['Aegilops_speltoides', 'Aegilops_uniaristata', 'Aegilops_comosa']
126 :  ['Picea_smithiana', 'Picea_koyamae', 'Picea_torano']
126 :  ['Cupressus_austrotibetica', 'Tetraclinis_articulata', 'Chamaecyparis_formosensis']
125 :  ['Bromus_catharticus', 'Aegilops_speltoides', 'Aegilops_bicornis']
125 :  ['Aegilops_speltoides', 'Aegilops_markgrafii', 'Aegilops_comosa']
124 :  ['Picea_rubens', 'Picea_jezoensis', 'Picea_mariana']
123 :  ['Aegilops_speltoides', 'Aegilops_longissima', 'Aegilops_bicornis']
123 :  ['Aegilops_speltoides', 'Aegilops_searsii', 'Aegilops_bicornis']
